"tra_meas,unit,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PAS_CRD,THS_PAS,SE32"	734	711	687	580	612	660	666	681	740	737	777	822
"PAS_CRD,THS_PAS,SE33"	2078	2147	2251	2151	2240	2444	2548	2604	2761	2780	2794	2959
"PAS_CRD,THS_PAS,SI04"	1327	1504	1649	1423	1382	1359	1168	1266	1307	1436	1404	1682
"PAS_CRD,THS_PAS,SK01"	1905	1976	2206	1701	1658	1577	1358	1340	1336	1556	1746	1929
"PAS_CRD,THS_PAS,SK04"	335	431	583	348	264	264	234	236	355	408	435	495
"PAS_CRD,THS_PAS,UKC1"	911	727	642	288	225	190	165	159	142	140	131	128
"PAS_CRD,THS_PAS,UKC2"	5407	5624	5016	4569	4346	4336	4355	4415	4513	4560	4805	5298
"PAS_CRD,THS_PAS,UKD3"	22124	21891	21062	18630	17662	18804	19654	20680	21950	23093	25598	27774
"PAS_CRD,THS_PAS,UKD4"	553	558	439	277	234	236	235	263	224	33	36	23
"PAS_CRD,THS_PAS,UKD7"	4962	5463	5330	4879	5008	5246	4458	4186	3984	4296	4777	4897
"PAS_CRD,THS_PAS,UKE1"	516	466	424	335	283	273	234	235	237	221	201	190
"PAS_CRD,THS_PAS,UKE3"	899	1062	968	835	876	822	693	690	724	857	1256	1336
"PAS_CRD,THS_PAS,UKE4"	2787	2860	2860	2553	2722	2910	2969	3314	3263	3445	3611	4075
"PAS_CRD,THS_PAS,UKF2"	4721	5406	5616	4653	4111	4208	4068	4327	4507	4446	4651	4878
"PAS_CRD,THS_PAS,UKG1"	610	599	331	0	: 	0	0	0	0	0	0	: 
"PAS_CRD,THS_PAS,UKG3"	9056	9134	9576	9092	8563	8606	8916	9114	9691	10180	11639	12960
"PAS_CRD,THS_PAS,UKH1"	747	701	585	431	427	414	399	472	480	465	507	528
"PAS_CRD,THS_PAS,UKH2"	9415	9919	10174	9115	8733	9510	9614	9693	10482	12263	14642	15989
"PAS_CRD,THS_PAS,UKH3"	23709	23808	22383	19953	18566	18086	18078	18814	21036	23414	25191	26991
"PAS_CRD,THS_PAS,UKI3"	2358	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,UKI4"	: 	2912	3260	2797	2781	2942	3017	3380	3648	4319	4539	4530
"PAS_CRD,THS_PAS,UKI5"	67339	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,UKI6"	: 	: 	: 	: 	: 	: 	: 	0	0	1	1	1
"PAS_CRD,THS_PAS,UKI7"	: 	67852	66907	65904	65742	69388	69983	72332	73371	74954	75672	77987
"PAS_CRD,THS_PAS,UKJ1"	: 	: 	: 	1	2	2	6	7	1	0	0	0
"PAS_CRD,THS_PAS,UKJ2"	34080	35166	34162	32360	31341	33638	34213	35427	38090	40257	43143	45534
"PAS_CRD,THS_PAS,UKJ3"	1913	1965	1946	1789	1734	1762	1693	1722	1830	1776	1947	2070
"PAS_CRD,THS_PAS,UKJ4"	13	18	13	5	25	37	9	41	14	1	0	: 
"PAS_CRD,THS_PAS,UKK1"	5710	5889	6248	5635	5739	5782	5931	6139	6348	6793	7616	8236
"PAS_CRD,THS_PAS,UKK2"	961	1083	1079	868	750	612	690	659	660	705	666	694
"PAS_CRD,THS_PAS,UKK3"	343	353	427	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,UKK4"	971	1011	950	788	737	707	695	738	767	821	850	908
"PAS_CRD,THS_PAS,UKL2"	1993	2093	1979	1625	1398	1208	1013	1057	1020	1159	1344	1464
"PAS_CRD,THS_PAS,UKM5"	: 	3411	3290	2984	2763	3083	3329	3440	3725	3470	2946	3090
"PAS_CRD,THS_PAS,UKM6"	1314	1387	1377	1289	1228	1306	1324	1433	1480	1514	1519	1651
"PAS_CRD,THS_PAS,UKM7"	8658	9102	9052	9114	8664	9445	9248	9802	10181	11135	12385	13431
"PAS_CRD,THS_PAS,UKM8"	11215	8726	8135	7213	6522	6858	7150	7358	7709	8710	9324	9895
"PAS_CRD,THS_PAS,UKM9"	3163	2421	2414	1817	1660	1296	1067	1145	912	610	672	696
"PAS_CRD,THS_PAS,UKN0"	7462	7851	8233	7504	7090	6900	6957	6949	6937	7367	8103	8590
"PAS_CRD,THS_PAS,UKZZ"	: 	: 	4	347	282	205	166	175	219	250	370	460
