unit,tra_meas,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
THS_T,FRM_LD_NLD,ITF4	3 	4 	4 	3 	3 	2 	2 	2 	2 	2 	2 	2 
THS_T,FRM_LD_NLD,ITF6	2 	2 	2 	2 	2 	2 	2 	2 	2 	1 	1 	1 
THS_T,FRM_LD_NLD,ITG1	14 	13 	12 	12 	12 	11 	10 	8 	8 	7 	7 	7 
THS_T,FRM_LD_NLD,ITG2	6 	6 	6 	5 	5 	5 	5 	4 	3 	4 	3 	3 
THS_T,FRM_LD_NLD,ITH1	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,ITH3	37 	32 	30 	29 	33 	34 	33 	38 	41 	48 	55 	57 
THS_T,FRM_LD_NLD,ITH4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ITH5	19 	20 	28 	28 	30 	34 	31 	35 	33 	31 	39 	42 
THS_T,FRM_LD_NLD,ITI1	12 	12 	10 	5 	6 	7 	7 	2 	8 	8 	10 	10 
THS_T,FRM_LD_NLD,ITI2	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,ITI3	5 	6 	6 	6 	6 	7 	7 	7 	7 	7 	6 	6 
THS_T,FRM_LD_NLD,ITI4	162 	176 	173 	156 	182 	171 	160 	158 	159 	161 	177 	203 
THS_T,FRM_LD_NLD,LT01	6 	6 	6 	4 	5 	6 	6 	8 	8 	8 	9 	10 
THS_T,FRM_LD_NLD,LT02	7 	7 	3 	2 	4 	4 	8 	8 	5 	7 	5 	5 
THS_T,FRM_LD_NLD,LU00	634 	703 	788 	627 	706 	666 	615 	673 	707 	737 	801 	893 
THS_T,FRM_LD_NLD,LV00	12 	7 	7 	9 	11 	12 	31 	52 	31 	17 	18 	21 
THS_T,FRM_LD_NLD,MT00	18 	18 	18 	17 	17 	16 	16 	16 	16 	16 	16 	16 
THS_T,FRM_LD_NLD,NL13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,NL32	1567 	1651 	1592 	1317 	1538 	1549 	1511 	1566 	1671 	1655 	1771 	1778 
THS_T,FRM_LD_NLD,NL33	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,NL41	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,NL42	54 	58 	55 	53 	62 	65 	53 	54 	57 	57 	61 	87 
THS_T,FRM_LD_NLD,NO01	6 	66 	3 	46 	45 	62 	76 	106 	113 	120 	120 	162 
THS_T,FRM_LD_NLD,NO02	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,NO03	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,NO04	0 	4 	0 	1 	1 	2 	2 	5 	6 	10 	9 	9 
THS_T,FRM_LD_NLD,NO05	0 	8 	1 	4 	5 	5 	2 	6 	10 	9 	7 	7 
THS_T,FRM_LD_NLD,NO06	0 	2 	0 	1 	0 	1 	1 	4 	4 	5 	3 	3 
THS_T,FRM_LD_NLD,NO07	1 	8 	0 	4 	3 	3 	3 	5 	6 	6 	6 	6 
THS_T,FRM_LD_NLD,NOZZ	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,PL21	1 	1 	2 	2 	2 	2 	2 	1 	1 	1 	0 	0 
THS_T,FRM_LD_NLD,PL22	0 	0 	0 	1 	1 	4 	10 	10 	10 	11 	13 	14 
THS_T,FRM_LD_NLD,PL41	0 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	3 
THS_T,FRM_LD_NLD,PL42	: 	: 	: 	: 	: 	1 	1 	1 	1 	0 	0 	0 
THS_T,FRM_LD_NLD,PL51	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	4 	1 
THS_T,FRM_LD_NLD,PL61	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,PL63	4 	5 	5 	4 	4 	5 	4 	5 	6 	5 	5 	5 
THS_T,FRM_LD_NLD,PL71	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,PL82	: 	: 	: 	: 	: 	0 	1 	1 	1 	7 	2 	0 
THS_T,FRM_LD_NLD,PL91	37 	41 	55 	50 	57 	61 	63 	64 	69 	72 	86 	98 
THS_T,FRM_LD_NLD,PT11	34 	33 	32 	27 	29 	24 	25 	28 	30 	30 	32 	36 
THS_T,FRM_LD_NLD,PT15	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,PT16	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
THS_T,FRM_LD_NLD,PT17	98 	94 	101 	96 	105 	95 	91 	97 	103 	101 	102 	126 
THS_T,FRM_LD_NLD,PT18	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,PT20	12 	13 	12 	12 	11 	7 	8 	9 	8 	9 	9 	9 
THS_T,FRM_LD_NLD,PT30	9 	9 	9 	8 	8 	7 	6 	6 	5 	5 	5 	5 
THS_T,FRM_LD_NLD,RO11	0 	0 	0 	0 	0 	1 	1 	1 	1 	2 	2 	3 
THS_T,FRM_LD_NLD,RO12	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,RO21	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,RO32	20 	18 	23 	22 	23 	24 	26 	28 	28 	29 	32 	35 
THS_T,FRM_LD_NLD,RO42	1 	1 	1 	1 	1 	1 	1 	2 	2 	3 	4 	5 
THS_T,FRM_LD_NLD,SE11	: 	: 	122 	84 	100 	83 	74 	72 	86 	91 	94 	107 
THS_T,FRM_LD_NLD,SE12	: 	: 	2 	4 	5 	6 	5 	6 	13 	12 	9 	10 
THS_T,FRM_LD_NLD,SE21	: 	: 	3 	2 	2 	1 	1 	1 	2 	2 	2 	2 
THS_T,FRM_LD_NLD,SE22	: 	: 	33 	28 	33 	33 	28 	25 	27 	31 	31 	26 
THS_T,FRM_LD_NLD,SE23	: 	: 	51 	45 	49 	44 	35 	30 	17 	14 	14 	17 
THS_T,FRM_LD_NLD,SE31	: 	: 	1 	1 	1 	1 	1 	1 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,SE32	: 	: 	3 	2 	2 	2 	3 	2 	3 	3 	2 	2 
THS_T,FRM_LD_NLD,SE33	: 	: 	7 	6 	5 	5 	6 	6 	6 	6 	6 	6 
THS_T,FRM_LD_NLD,SI04	7 	13 	8 	6 	6 	7 	8 	8 	9 	9 	9 	12 
THS_T,FRM_LD_NLD,SK01	5 	2 	7 	12 	18 	20 	21 	21 	18 	21 	23 	27 
THS_T,FRM_LD_NLD,SK04	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKC1	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKC2	8 	9 	13 	12 	13 	12 	11 	10 	9 	8 	9 	7 
THS_T,FRM_LD_NLD,UKD3	150 	166 	143 	103 	117 	109 	98 	97 	93 	103 	112 	123 
THS_T,FRM_LD_NLD,UKD4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKD7	10 	4 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKE1	0 	0 	0 	0 	1 	1 	1 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKE3	0 	2 	1 	0 	0 	0 	0 	0 	1 	3 	9 	9 
THS_T,FRM_LD_NLD,UKE4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKF2	298 	318 	292 	287 	304 	299 	300 	297 	307 	321 	320 	346 
THS_T,FRM_LD_NLD,UKG1	10 	9 	7 	2 	: 	1 	2 	2 	2 	2 	2 	: 
THS_T,FRM_LD_NLD,UKG3	15 	14 	12 	13 	22 	17 	19 	22 	5 	7 	30 	42 
THS_T,FRM_LD_NLD,UKH1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKH2	18 	38 	41 	29 	29 	28 	30 	29 	27 	28 	26 	22 
THS_T,FRM_LD_NLD,UKH3	241 	225 	230 	213 	230 	230 	241 	236 	226 	227 	246 	255 
THS_T,FRM_LD_NLD,UKI4	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 	2 	1 
THS_T,FRM_LD_NLD,UKI6	0 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKI7	1343 	1393 	1483 	1349 	1551 	1569 	1556 	1514 	1586 	1589 	1638 	1792 
THS_T,FRM_LD_NLD,UKJ1	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKJ2	220 	177 	112 	79 	109 	92 	101 	100 	93 	78 	84 	102 
THS_T,FRM_LD_NLD,UKJ3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKJ4	21 	28 	26 	30 	17 	27 	31 	29 	13 	0 	0 	: 
THS_T,FRM_LD_NLD,UKK1	3 	3 	4 	4 	3 	0 	0 	0 	0 	0 	0 	0 
THS_T,FRM_LD_NLD,UKK2	11 	11 	10 	10 	10 	11 	10 	9 	10 	9 	0 	0 
THS_T,FRM_LD_NLD,UKK3	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,FRM_LD_NLD,UKK4	6 	5 	4 	4 	4 	6 	6 	5 	5 	4 	3 	3 
THS_T,FRM_LD_NLD,UKL2	2 	2 	1 	0 	0 	1 	1 	1 	1 	0 	0 	0 
THS_T,FRM_LD_NLD,UKM5	5 	4 	4 	4 	4 	6 	7 	7 	8 	8 	7 	7 
THS_T,FRM_LD_NLD,UKM6	2 	2 	2 	2 	2 	2 	2 	2 	1 	1 	1 	1 
THS_T,FRM_LD_NLD,UKM7	51 	46 	49 	52 	44 	44 	43 	38 	37 	36 	37 	41 
THS_T,FRM_LD_NLD,UKM8	6 	4 	4 	2 	3 	2 	10 	12 	15 	13 	13 	16 
THS_T,FRM_LD_NLD,UKM9	29 	32 	23 	13 	12 	12 	10 	9 	12 	11 	11 	11 
THS_T,FRM_LD_NLD,UKN0	51 	51 	48 	43 	44 	47 	45 	45 	46 	48 	12 	20 
THS_T,FRM_LD_NLD,UKZZ	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
